mapping,ordering,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
110,11_001,0.428776,3.860878,0.535156,0.399219,0.475000,0.535156,0.317969,0.394531,0.399219,0.317969,0.450781,0.475000,0.394531,0.450781
110,11_010,0.516797,3.270919,0.675000,0.433594,0.565625,0.675000,0.429688,0.548438,0.433594,0.429688,0.448438,0.565625,0.548438,0.448438
110,11_011,0.467578,3.562383,0.671875,0.391406,0.445312,0.671875,0.410156,0.467969,0.391406,0.410156,0.418750,0.445312,0.467969,0.418750
110,11_100,0.527995,3.241551,0.452344,0.450000,0.448438,0.452344,0.573438,0.578125,0.450000,0.573438,0.665625,0.448438,0.578125,0.665625
110,11_101,0.474089,3.610641,0.360938,0.417188,0.453906,0.360938,0.576562,0.476562,0.417188,0.576562,0.559375,0.453906,0.476562,0.559375
110,11_110,0.564583,3.065370,0.562500,0.535937,0.615625,0.562500,0.571875,0.565625,0.535937,0.571875,0.535937,0.615625,0.565625,0.535937
110,11_codon,0.523047,3.231206,0.648438,0.457812,0.596094,0.648438,0.446875,0.563281,0.457812,0.446875,0.425781,0.596094,0.563281,0.425781
110,12,0.407031,3.819046,0.362500,0.395312,0.417188,0.362500,0.419531,0.417969,0.395312,0.419531,0.429688,0.417188,0.417969,0.429688
110,12_001,0.418099,3.882765,0.364062,0.454688,0.468750,0.364062,0.298438,0.516406,0.454688,0.298438,0.406250,0.468750,0.516406,0.406250
110,12_010,0.521354,3.274693,0.572656,0.439844,0.604688,0.572656,0.442187,0.634375,0.439844,0.442187,0.434375,0.604688,0.634375,0.434375
110,12_011,0.455469,3.698253,0.392969,0.462500,0.467187,0.392969,0.400781,0.547656,0.462500,0.400781,0.461719,0.467187,0.547656,0.461719
110,12_100,0.525781,3.259775,0.563281,0.458594,0.533594,0.563281,0.484375,0.617188,0.458594,0.484375,0.497656,0.533594,0.617188,0.497656
110,12_101,0.440625,3.802534,0.351562,0.457031,0.447656,0.351562,0.376563,0.540625,0.457031,0.376563,0.470313,0.447656,0.540625,0.470313
110,12_110,0.560677,3.097669,0.532813,0.593750,0.560937,0.532813,0.535937,0.576562,0.593750,0.535937,0.564063,0.560937,0.576562,0.564063
110,12_codon,0.522917,3.248146,0.560937,0.486719,0.646094,0.560937,0.432813,0.546094,0.486719,0.432813,0.464844,0.646094,0.546094,0.464844
110,13,0.412500,3.720327,0.425000,0.353906,0.429688,0.425000,0.382031,0.478906,0.353906,0.382031,0.405469,0.429688,0.478906,0.405469
